NTD ID,Agency Name,Reporter Type,Subrecipient Type,Reporting Module,Mode,TOS,Time Period,Time Service Begins,Time Service Ends,Vehicles/Passenger Cars Operated in Maximum Service,Vehicles/Passenger Cars Available for Maximum Service,Trains in Operation,Vehicles/Passenger Cars in Operation,Actual Vehicles/Passenger Car Miles,Actual Vehicles/Passenger Car Revenue Miles,Actual Vehicle/Passenger Deadhead Miles,Scheduled Actual Vehicle/Passenger Car Revenue Miles,Actual Vehicle/Passenger Car Hours,Actual Vehicle/Passenger Car Revenue Hours,Actual Vehicle/Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,Passenger Miles,Days of Service Operated,Days Not Operated Due to Strikes,Strike Comment,Days Not Operated Due to Emergencies,Emergency Comment,Non-Statutory Mixed Traffic,DRM Mixed Traffic ROW
00001,King County Department of Metro Transit,Full Reporter,,Urban,VP,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,DO,Annual Total,,,47,69,,,"1,176,165","1,066,946","109,219",,"70,062","64,463","5,599",0,0,,,,,,,"143,809","138,125",,"1,024,076",,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,DO,Average Typical Saturday,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,DO,Average Typical Sunday,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,DO,Average Typical Weekday,4:55 AM,12:35 AM,,,,47,"4,612","4,184",428,,275,253,22,,,,,,,,,564,,,"4,016",255,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,PT,Annual Total,,,43,61,,,"893,908","768,789","125,119",,"54,844","47,911","6,933",,,,,,,,,"108,392","104,805",,"831,448",,,,,,,
