Source: EMFAC2021 (v1.0.2) Emission Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Type: Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calendar Year: 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Classification: EMFAC202x Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Units: miles/day for CVMT and EVMT, trips/day for Trips, g/mile for RUNEX, PMBW and PMTW, g/trip for STREX, HOTSOAK and RUNLOSS, g/vehicle/day for IDLEX and DIURN. PHEV calculated based on total VMT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,NOx_RUNEX,NOx_IDLEX,NOx_STREX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_PMTW,PM2.5_PMBW,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_PMTW,PM10_PMBW,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_HOTSOAK,ROG_RUNLOSS,ROG_DIURN,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_HOTSOAK,TOG_RUNLOSS,TOG_DIURN,NH3_RUNEX,CO_RUNEX,CO_IDLEX,CO_STREX,SOx_RUNEX,SOx_IDLEX,SOx_STREX
Statewide Totals,2023,UBUS,2017,Aggregate,Diesel,364.2833052,39508.33311,39508.33311,0,1457.133221,0.363653141,0,0,0.006564225,0,0,0.007825551,0.038498016,0.00686103,0,0,0.031302204,0.109994331,1223.176519,0,0,0.003061684,0,0,0.192711959,0,0,0.065917207,0,0,0,0,0,0.075041723,0,0,0,0,0,0.22,0.074637568,0,0,0.011590219,0,0
Statewide Totals,2023,UBUS,2017,Aggregate,Electricity,50.57396174,2623.185802,0,2623.185802,202.295847,0,0,0,0,0,0,0.008017433,0.019090406,0,0,0,0.032069731,0.054544018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Totals,2023,UBUS,2017,Aggregate,Natural Gas,299.7999129,32283.49627,32283.49627,0,1199.199652,0.514208474,0,0,0.001370532,0,0,0.006845903,0.037696008,0.001432502,0,0,0.027383614,0.107702881,1643.609375,0,0,1.141339546,0,0,0.335060523,0,0,0.022325699,0,0,0,0,0,1.171391126,0,0,0,0,0,0.97,19.25507188,0,0,0,0,0
Statewide Totals,2023,UBUS,2018,Aggregate,Gasoline,276.1168969,16289.05831,16289.05831,0,1104.467587,0.132692488,0,0.733512678,0.001244202,0,0.0005624,0.002478867,0.035034474,0.001353183,0,0.000611661,0.00991547,0.100098496,1323.040859,0,78.27795368,0.002847779,0,0.090141186,0.012834672,0,0.074201475,0.009197835,0,0.38201746,0.031416348,0.092732139,0.481808542,0.013421459,0,0.418261033,0.031416348,0.092732139,0.481808542,0.045,0.427402947,0,7.911322252,0.013079606,0,0.000773857
Statewide Totals,2023,UBUS,2018,Aggregate,Diesel,218.3256021,13708.22951,13708.22951,0,873.3024086,0.385086718,0,0,0.006992899,0,0,0.008248276,0.038487927,0.007309087,0,0,0.032993105,0.109965507,1339.731647,0,0,0.003207668,0,0,0.211075267,0,0,0.069060213,0,0,0,0,0,0.078619797,0,0,0,0,0,0.22,0.079299139,0,0,0.012694638,0,0
Statewide Totals,2023,UBUS,2018,Aggregate,Electricity,72.07504104,3062.584031,0,3062.584031,288.3001642,0,0,0,0,0,0,0.007938998,0.019240848,0,0,0,0.031755991,0.054973851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Totals,2023,UBUS,2018,Aggregate,Natural Gas,357.8201515,31770.49035,31770.49035,0,1431.280606,0.113781694,0,0,0.001303094,0,0,0.007151839,0.037881051,0.001362014,0,0,0.028607356,0.108231574,1645.13712,0,0,3.467264141,0,0,0.335371964,0,0,0.055105593,0,0,0,0,0,3.544673236,0,0,0,0,0,0.97,40.11510228,0,0,0,0,0
Statewide Totals,2023,UBUS,2019,Aggregate,Gasoline,113.5612819,5365.146267,5365.146267,0,454.2451275,0.080092867,0,0.576250562,0.001259545,0,0.000384557,0.002267804,0.0336309,0.00136987,0,0.00041824,0.009071215,0.096088287,1181.277171,0,60.05396315,0.002467698,0,0.062473215,0.008225232,0,0.064724787,0.007726037,0,0.266475984,0.031259848,0.092380778,0.462548603,0.011273815,0,0.291757661,0.031259848,0.092380778,0.462548603,0.045,0.487210585,0,7.005024023,0.011678127,0,0.000593695
Statewide Totals,2023,UBUS,2019,Aggregate,Diesel,79.43190559,3147.331779,3147.331779,0,317.7276223,0.40448146,0,0,0.00730308,0,0,0.008578476,0.038479142,0.007633293,0,0,0.034313902,0.109940407,1374.678242,0,0,0.003330955,0,0,0.216581117,0,0,0.071714538,0,0,0,0,0,0.081641545,0,0,0,0,0,0.22,0.083274776,0,0,0.013025775,0,0
Statewide Totals,2023,UBUS,2019,Aggregate,Electricity,3.245555106,42.42448338,0,42.42448338,12.98222043,0,0,0,0,0,0,0.006519828,0.01917594,0,0,0,0.026079311,0.054788401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
